user_id,target_pos,mid_pos,last_pos,original_interactions,items_removed,exclusion_interactions,inclusion_interactions,worst_jac,same_interactions
5,1,10,1,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 130, 239, 253, 266, 301, 315, 324, 372]","[107, 123, 227, 230, 257, 305, 329, 331, 357, 358, 359]","[107, 123, 227, 230, 257, 305, 329, 331, 357, 358, 359, 253]","[130, 324, 266, 301, 239, 372, 315, 60, 253, 327, 439, 245, 284, 222, 543, 505, 281, 516, 438, 471]",1.0
5,3,11,6,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[123, 227, 239, 266]","[60, 107, 130, 230, 253, 257, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 130, 230, 253, 257, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372, 507, 508]","[123, 239, 19, 1578, 507, 227, 492, 508, 480, 440, 293, 510, 485, 439, 325, 447, 266, 543, 521, 461]",1.0
5,5,10,6,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[305, 357]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 315, 324, 329, 331, 358, 359, 372]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 315, 324, 329, 331, 358, 359, 372, 2344]","[305, 357, 983, 912, 2344, 317, 439, 260, 543, 245, 344, 327, 489, 256, 922, 68, 243, 923, 337, 325]",1.0
5,7,11,5,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]",[130],"[60, 107, 123, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372, 568, 401, 438]","[130, 90, 1195, 568, 291, 135, 438, 172, 1257, 165, 401, 815, 548, 770, 177, 730, 397, 222, 117, 383]",2.0
8,1,10,3,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[384, 443, 481]","[60, 86, 119, 236, 323, 360, 444, 450, 453, 456, 457, 461, 472, 473, 478, 511, 514]","[60, 86, 119, 236, 323, 360, 444, 450, 453, 456, 457, 461, 472, 473, 478, 511, 514, 1257, 443, 245]","[384, 481, 443, 245, 383, 568, 730, 397, 1257, 265, 284, 117, 40, 172, 168, 165, 439, 28, 281, 438]",1.0
8,3,10,1,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[119, 472]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 473, 478, 481, 511, 514, 1968, 466, 119]","[472, 119, 519, 1968, 918, 80, 912, 906, 293, 138, 884, 462, 475, 2145, 1832, 466, 926, 895, 888, 1369]",2.0
8,5,11,5,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]",[119],"[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514, 488]","[119, 845, 594, 1861, 266, 485, 464, 1443, 927, 2145, 1381, 582, 1688, 1385, 705, 488, 888, 512, 519, 1439]",1.0
8,7,10,6,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[86, 384]","[60, 119, 236, 323, 360, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 119, 236, 323, 360, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514, 129, 284, 117]","[384, 86, 149, 129, 730, 245, 168, 284, 397, 117, 568, 40, 165, 124, 439, 265, 281, 172, 438, 28]",2.0
9,1,10,2,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[24, 114, 268, 323, 529, 539]","[22, 40, 90, 94, 105, 126, 227, 273, 317, 318, 337, 506, 523, 549]","[22, 40, 90, 94, 105, 126, 227, 273, 317, 318, 337, 506, 523, 549, 65, 268, 93]","[323, 268, 529, 24, 539, 210, 49, 61, 715, 65, 93, 152, 45, 125, 190, 218, 114, 63, 133, 98]",1.0
9,3,13,4,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[22, 24, 105, 268]","[40, 90, 94, 114, 126, 227, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[40, 90, 94, 114, 126, 227, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549, 125, 52, 133]","[268, 22, 24, 161, 129, 52, 168, 105, 65, 63, 45, 128, 79, 125, 152, 190, 133, 98, 49, 93]",1.0
