user_id,target_pos,original_interactions,best_interactions,cfs,len_cfs
5,1,"[230 257 359 130 358 329 372 227 324 301 253 239 107 305 266 315  60 331
 123 357]",[],"[ 60 107 123 130 227 230 239 253 257 266 301 305 315 324 329 331 357 358
 359 372]",20
5,3,"[230 257 359 130 358 329 372 227 324 301 253 239 107 305 266 315  60 331
 123 357]",[230 257 359 130 358 329 227 324 253 239 107 305  60 331 123 357],[266 301 315 372],4
5,5,"[230 257 359 130 358 329 372 227 324 301 253 239 107 305 266 315  60 331
 123 357]","[230 257 359 130 358 329 372 227 324 253 239 107 305 266 315  60 331 123
 357]",[301],1
5,7,"[230 257 359 130 358 329 372 227 324 301 253 239 107 305 266 315  60 331
 123 357]","[257 359 130 358 329 372 227 324 301 253 239 107 305 266 315  60 331 123
 357]",[230],1
8,1,"[384 461 236 478  86 457 511  60 323 443 360 473 472 514 456 481 119 450
 453 444]",[],"[ 60  86 119 236 323 360 384 443 444 450 453 456 457 461 472 473 478 481
 511 514]",20
8,3,"[384 461 236 478  86 457 511  60 323 443 360 473 472 514 456 481 119 450
 453 444]",[384 461 236 478  86 457 511  60 323 443 360 473 472 514 481 119 450 453],[444 456],2
8,5,"[384 461 236 478  86 457 511  60 323 443 360 473 472 514 456 481 119 450
 453 444]",[384 461 236 478  86 457 511  60 323 443 360 473 472 514 456 481 119 453],[444 450],2
8,7,"[384 461 236 478  86 457 511  60 323 443 360 473 472 514 456 481 119 450
 453 444]","[384 461 236 478  86 457 511  60 323 443 360 473 472 514 456 481 119 450
 453]",[444],1
9,1,"[ 24 105 126 523 268  22 337  40 506 318 317  90 539 227 273 114 549 323
 529  94]","[ 24 105 126 523 268  22 337  40 506 318 317  90 539 227 273 114 549 323
 529]",[94],1
9,3,"[ 24 105 126 523 268  22 337  40 506 318 317  90 539 227 273 114 549 323
 529  94]","[ 24 105 126 523 268  22 337  40 506 318 317  90 539 227 273 114 549 323
 529]",[94],1
9,5,"[ 24 105 126 523 268  22 337  40 506 318 317  90 539 227 273 114 549 323
 529  94]",[ 24 105 126 523 268  22 337  40 506 318 317  90 539 227 114 549 323 529],[ 94 273],2
9,7,"[ 24 105 126 523 268  22 337  40 506 318 317  90 539 227 273 114 549 323
 529  94]","[ 24 105 126 523 268  22 337  40 506 318 317  90 539 227 273 114 549 323
 529]",[94],1
