user_id,target_pos,mid_pos,last_pos,original_interactions,items_removed,exclusion_interactions,inclusion_interactions,worst_jac,same_interactions
5,5,10,4,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]",[301],"[230, 257, 359, 130, 358, 329, 372, 227, 324, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 257, 359, 130, 358, 329, 372, 227, 324, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357, 301]","[301, 483, 1369, 485, 243, 1420, 151, 439, 438, 462, 127, 265, 2145, 91, 926, 906, 568, 524, 888, 466]",0.0
5,7,10,2,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]",[230],"[257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357, 230]","[230, 120, 98, 1019, 190, 215, 529, 606, 161, 776, 133, 897, 433, 1015, 252, 63, 377, 156, 539, 323]",0.0
8,1,13,1,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[60, 86, 384, 461, 478, 511]","[236, 457, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[236, 457, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444, 384]","[384, 461, 86, 60, 478, 511, 464, 1443, 927, 2145, 1381, 582, 1688, 1385, 705, 488, 888, 519, 512, 1439]",0.0
8,3,10,3,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[236, 444]","[384, 461, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453]","[384, 461, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[444, 236, 1409, 488, 882, 419, 397, 1593, 1339, 829, 641, 1195, 730, 1443, 1325, 401, 640, 577, 691, 1360]",0.0
9,5,13,5,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[94, 273]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529, 273]","[273, 94, 434, 59, 91, 117, 165, 433, 118, 712, 63, 291, 157, 190, 196, 79, 265, 152, 149, 146]",0.0
10,5,10,4,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]",[662],"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 435, 660, 662]","[662, 128, 45, 281, 117, 125, 98, 133, 152, 68, 105, 49, 260, 247, 39, 24, 245, 168, 52, 129]",0.0
17,3,12,0,"[373, 11, 960, 117, 150, 118, 349, 21, 91, 377, 741, 749, 278, 323, 990, 1009, 529, 970, 978, 1010]",[970],"[373, 11, 960, 117, 150, 118, 349, 21, 91, 377, 741, 749, 278, 323, 990, 1009, 529, 978, 1010]","[373, 11, 960, 117, 150, 118, 349, 21, 91, 377, 741, 749, 278, 323, 990, 1009, 529, 978, 1010, 970]","[970, 274, 114, 190, 98, 210, 643, 744, 663, 20, 715, 128, 133, 97, 65, 218, 45, 23, 125, 27]",0.0
24,7,92,4,"[677, 1039, 6, 393, 97, 861, 397, 648, 401, 419, 1166, 1313, 777, 901, 264, 44, 187, 587, 670, 604]",[670],"[677, 1039, 6, 393, 97, 861, 397, 648, 401, 419, 1166, 1313, 777, 901, 264, 44, 187, 587, 604]","[677, 1039, 6, 393, 97, 861, 397, 648, 401, 419, 1166, 1313, 777, 901, 264, 44, 187, 587, 604, 670]","[670, 114, 190, 133, 98, 45, 117, 93, 125, 24, 247, 49, 168, 245, 135, 39, 129, 52, 185, 105]",0.0
26,3,140,0,"[1353, 1350, 4, 1339, 657, 391, 1320, 1408, 930, 1024, 140, 581, 1426, 15, 83, 216, 11, 1059, 1277, 1191]",[1277],"[1353, 1350, 4, 1339, 657, 391, 1320, 1408, 930, 1024, 140, 581, 1426, 15, 83, 216, 11, 1059, 1191]","[1353, 1350, 4, 1339, 657, 391, 1320, 1408, 930, 1024, 140, 581, 1426, 15, 83, 216, 11, 1059, 1191, 1277]","[1277, 168, 568, 438, 135, 93, 129, 114, 65, 152, 265, 125, 133, 49, 23, 165, 190, 41, 117, 172]",0.0
29,3,10,3,"[211, 214, 1480, 1475, 1473, 729, 616, 434, 212, 215, 118, 114, 223, 703, 1482, 647, 1072, 1469, 387, 196]",[1469],"[211, 214, 1480, 1475, 1473, 729, 616, 434, 212, 215, 118, 114, 223, 703, 1482, 647, 1072, 387, 196]","[211, 214, 1480, 1475, 1473, 729, 616, 434, 212, 215, 118, 114, 223, 703, 1482, 647, 1072, 387, 196, 1469]","[1469, 1019, 133, 99, 190, 87, 1059, 61, 556, 120, 433, 620, 134, 529, 63, 1076, 156, 161, 606, 776]",0.0
