user_id,target_pos,mid_pos,last_pos,original_interactions,items_removed,exclusion_interactions,inclusion_interactions,worst_jac,same_interactions
5,5,10,4,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]",[301],"[230, 257, 359, 130, 358, 329, 372, 227, 324, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 257, 359, 130, 358, 329, 372, 227, 324, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357, 301]","[301, 483, 1369, 485, 243, 1420, 151, 439, 438, 462, 127, 265, 2145, 91, 926, 906, 568, 524, 888, 466]",0.0
5,7,10,2,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]",[230],"[257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357, 230]","[230, 120, 98, 1019, 190, 215, 529, 606, 161, 776, 133, 897, 433, 1015, 252, 63, 377, 156, 539, 323]",0.0
8,1,13,1,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[60, 86, 384, 461, 478, 511]","[236, 457, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[236, 457, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444, 384]","[384, 461, 86, 60, 478, 511, 464, 1443, 927, 2145, 1381, 582, 1688, 1385, 705, 488, 888, 519, 512, 1439]",0.0
8,3,10,3,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[236, 444]","[384, 461, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453]","[384, 461, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[444, 236, 1409, 488, 882, 419, 397, 1593, 1339, 829, 641, 1195, 730, 1443, 1325, 401, 640, 577, 691, 1360]",0.0
9,5,13,5,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[94, 273]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529, 273]","[273, 94, 434, 59, 91, 117, 165, 433, 118, 712, 63, 291, 157, 190, 196, 79, 265, 152, 149, 146]",0.0
9,7,38,7,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]",[94],"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 80]","[844, 80, 152, 149, 79, 320, 138, 256, 434, 265, 433, 147, 896, 151, 196, 94, 118, 91, 121, 241]",0.0
10,5,10,4,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]",[662],"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 435, 660, 662]","[662, 128, 45, 281, 117, 125, 98, 133, 152, 68, 105, 49, 260, 247, 39, 24, 245, 168, 52, 129]",0.0
10,7,13,3,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]",[613],"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435, 660, 1043]","[613, 1043, 1299, 199, 386, 1302, 1211, 6, 23, 712, 178, 793, 16, 85, 184, 548, 274, 643, 14, 169]",0.0
11,7,14,0,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]",[50],"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 829, 799, 601, 807, 639, 704, 823, 684, 636]","[50, 755, 1231, 636, 587, 1076, 1177, 215, 647, 201, 1019, 739, 716, 645, 841, 768, 677, 559, 738, 865]",0.0
15,5,10,5,"[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 915, 851, 188, 125, 623]",[894],"[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 915, 851, 188, 125, 623]","[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 915, 851, 188, 125, 623, 637]","[894, 637, 865, 569, 1096, 425, 759, 643, 755, 574, 742, 559, 768, 657, 843, 1038, 592, 718, 679, 674]",0.0
