user_id,target_pos,mid_pos,last_pos,original_interactions,items_removed,exclusion_interactions,inclusion_interactions,worst_jac,same_interactions
5,1,11,2,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[123, 257, 266, 315, 331, 357]","[230, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 60]","[230, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 60, 357]","[257, 357, 331, 315, 123, 507, 492, 508, 480, 440, 293, 510, 485, 439, 325, 447, 266, 543, 521, 461]",0.0
5,3,10,6,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[266, 301, 315, 372]","[230, 257, 359, 130, 358, 329, 227, 324, 253, 239, 107, 305, 60, 331, 123, 357]","[230, 257, 359, 130, 358, 329, 227, 324, 253, 239, 107, 305, 60, 331, 123, 357, 266]","[266, 315, 372, 301, 466, 438, 766, 40, 53, 90, 521, 492, 511, 19, 705, 440, 313, 485, 439, 594]",0.0
8,5,10,9,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[360, 450]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 473, 472, 514, 456, 481, 119, 453, 444]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 473, 472, 514, 456, 481, 119, 453, 444, 360]","[360, 450, 1912, 1143, 1209, 2672, 2380, 1154, 912, 2260, 1260, 1985, 1119, 911, 761, 585, 1900, 483, 1156, 1329]",0.0
10,1,10,2,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[613, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435, 660]","[660, 613, 98, 65, 168, 24, 68, 129, 247, 245, 211, 49, 214, 210, 218, 52, 128, 125, 45, 670]",0.0
11,1,10,7,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]",[50],"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 829, 799, 601, 807, 639, 704, 823, 684, 1092]","[50, 1092, 1322, 557, 1857, 1197, 688, 1226, 1166, 700, 788, 1222, 567, 747, 275, 1852, 658, 794, 811, 669]",0.0
11,5,12,9,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[507, 601]","[746, 165, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 807, 639, 704, 823, 684]","[746, 165, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 807, 639, 704, 823, 684, 601]","[601, 507, 98, 65, 168, 24, 129, 247, 245, 211, 49, 214, 210, 218, 52, 128, 125, 45, 435, 670]",0.0
15,1,50,8,"[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 915, 851, 188, 125, 623]",[125],"[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 915, 851, 188, 623]","[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 915, 851, 188, 623, 187]","[187, 49, 670, 744, 63, 6, 715, 190, 61, 114, 27, 23, 98, 210, 133, 218, 128, 65, 125, 45]",0.0
15,3,16,7,"[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 915, 851, 188, 125, 623]",[915],"[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 851, 188, 125, 623]","[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 851, 188, 125, 623, 58]","[915, 133, 58, 79, 214, 644, 63, 152, 6, 386, 715, 45, 65, 712, 218, 588, 211, 206, 128, 187]",0.0
17,1,11,5,"[373, 11, 960, 117, 150, 118, 349, 21, 91, 377, 741, 749, 278, 323, 990, 1009, 529, 970, 978, 1010]","[91, 529]","[373, 11, 960, 117, 150, 118, 349, 21, 377, 741, 749, 278, 323, 990, 1009, 970, 978, 1010]","[373, 11, 960, 117, 150, 118, 349, 21, 377, 741, 749, 278, 323, 990, 1009, 970, 978, 1010, 99]","[91, 99, 715, 133, 289, 1076, 215, 529, 606, 971, 556, 897, 539, 433, 744, 63, 776, 156, 252, 1015]",0.0
18,1,12,3,"[31, 1044, 1061, 1051, 567, 402, 1109, 260, 245, 58, 475, 105, 1099, 795, 951, 1050, 471, 354, 686, 417]","[417, 1050]","[31, 1044, 1061, 1051, 567, 402, 1109, 260, 245, 58, 475, 105, 1099, 795, 951, 471, 354, 686]","[31, 1044, 1061, 1051, 567, 402, 1109, 260, 245, 58, 475, 105, 1099, 795, 951, 471, 354, 686, 1050]","[1050, 417, 1299, 694, 439, 201, 588, 148, 429, 60, 1311, 1043, 793, 1332, 42, 1394, 1406, 43, 53, 766]",0.0
