user_id,target_pos,mid_pos,last_pos,original_interactions,items_removed,exclusion_interactions,inclusion_interactions,worst_jac,same_interactions
5,1,11,6,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[130, 239, 253, 257, 301, 324, 358, 359, 372]","[230, 329, 227, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 329, 227, 107, 305, 266, 315, 60, 331, 123, 357, 257]","[257, 130, 324, 358, 359, 301, 239, 372, 253, 327, 439, 245, 284, 222, 543, 505, 281, 516, 438, 471]",0.0
5,3,10,7,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[239, 253, 266, 372]","[230, 257, 359, 130, 358, 329, 227, 324, 301, 107, 305, 315, 60, 331, 123, 357]","[230, 257, 359, 130, 358, 329, 227, 324, 301, 107, 305, 315, 60, 331, 123, 357, 372]","[372, 253, 239, 19, 1578, 507, 492, 508, 480, 440, 293, 510, 485, 439, 325, 447, 266, 543, 521, 461]",0.0
5,5,10,6,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[305, 357]","[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 266, 315, 60, 331, 123]","[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 266, 315, 60, 331, 123, 305]","[305, 357, 983, 912, 2344, 317, 439, 260, 543, 245, 344, 327, 489, 256, 922, 68, 243, 923, 337, 325]",0.0
8,1,11,7,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[384, 461, 481]","[236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 119, 450, 453, 444]","[236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 119, 450, 453, 444, 384]","[384, 481, 461, 245, 383, 568, 730, 397, 1257, 265, 284, 117, 40, 172, 168, 165, 439, 28, 281, 438]",0.0
8,3,10,5,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[119, 472]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 514, 456, 481, 450, 453, 444]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 514, 456, 481, 450, 453, 444, 472]","[472, 119, 519, 1968, 918, 80, 912, 906, 293, 138, 884, 462, 475, 2145, 1832, 466, 926, 895, 888, 1369]",0.0
9,1,10,4,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 114, 268, 323, 529, 539]","[105, 126, 523, 22, 337, 40, 506, 318, 317, 90, 227, 273, 549, 94]","[105, 126, 523, 22, 337, 40, 506, 318, 317, 90, 227, 273, 549, 94, 323]","[323, 268, 529, 24, 539, 210, 49, 61, 715, 65, 93, 152, 45, 125, 190, 218, 114, 63, 133, 98]",0.0
9,3,15,8,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 268, 523]","[126, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[126, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94, 523]","[523, 268, 24, 161, 129, 52, 168, 105, 65, 63, 45, 128, 79, 125, 152, 190, 133, 98, 49, 93]",0.0
9,5,10,9,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[126, 529]","[24, 105, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 94]","[24, 105, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 94, 126]","[126, 715, 133, 289, 1076, 215, 529, 606, 971, 556, 897, 741, 433, 744, 63, 776, 377, 156, 252, 1015]",0.0
9,7,10,9,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105]","[126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94, 93]","[93, 670, 152, 128, 185, 125, 133, 39, 117, 105, 49, 281, 24, 247, 260, 129, 68, 168, 52, 245]",0.0
10,1,10,5,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[592, 613]","[539, 734, 647, 759, 742, 20, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435, 660, 592]","[592, 613, 218, 663, 744, 749, 1019, 16, 23, 636, 995, 190, 601, 210, 677, 738, 97, 587, 1006, 604]",0.0
