user_id,target_pos,mid_pos,last_pos,original_interactions,items_removed,exclusion_interactions,inclusion_interactions,worst_jac,same_interactions
5,1,15,4,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[329, 331, 359]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 357, 358, 372]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 331, 357, 358, 372]","[331, 359, 594, 19, 1578, 507, 492, 508, 329, 480, 440, 293, 510, 485, 439, 325, 447, 543, 521, 461]",0.0
5,3,11,8,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[123, 372]","[60, 107, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359]","[123, 372, 1529, 1025, 397, 2154, 222, 1527, 804, 691, 370, 730, 577, 640, 1195, 383, 401, 829, 418, 413]",0.0
5,5,10,10,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]",[372],"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359]","[383, 172, 439, 117, 522, 1257, 730, 21, 372, 336, 815, 222, 568, 397, 535, 291, 901, 538, 165, 90]",0.0
5,7,11,9,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[130, 358]","[60, 107, 123, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 359, 372]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 359, 372]","[130, 358, 1195, 568, 291, 135, 438, 172, 1257, 165, 401, 815, 548, 770, 177, 730, 397, 222, 117, 383]",0.0
8,1,10,3,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[86, 323, 384, 478, 511]","[60, 119, 236, 360, 443, 444, 450, 453, 456, 457, 461, 472, 473, 481, 514]","[60, 119, 236, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 481, 514]","[384, 323, 86, 478, 511, 227, 946, 1265, 367, 492, 521, 96, 76, 239, 285, 440, 485, 325, 313, 1999]",0.0
8,3,11,4,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[478, 511]","[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 481, 514]","[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 514]","[478, 511, 1968, 1303, 305, 439, 543, 492, 313, 508, 19, 1277, 1420, 594, 447, 1578, 485, 440, 1310, 266]",0.0
8,7,10,8,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]",[511],"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 514]","[60, 86, 119, 236, 293, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 514]","[293, 1097, 511, 492, 888, 266, 57, 19, 313, 519, 466, 927, 372, 439, 705, 521, 440, 594, 485, 508]",0.0
10,1,58,58,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]",[742],"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 759]","[206, 676, 637, 865, 1096, 425, 188, 643, 755, 574, 742, 559, 768, 657, 843, 1038, 718, 679, 623, 674]",0.0
10,3,36,4,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[734, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 742]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742]","[734, 759, 548, 199, 1229, 176, 793, 178, 184, 218, 58, 206, 14, 643, 187, 211, 588, 386, 712, 756]",0.0
10,5,19,19,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]",[742],"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 759]","[559, 793, 712, 386, 756, 588, 548, 178, 6, 738, 16, 169, 27, 184, 274, 23, 14, 742, 425, 643]",0.0
11,1,26,26,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]",[829],"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823]","[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823]","[535, 117, 149, 567, 829, 222, 172, 90, 438, 522, 901, 815, 383, 1195, 1257, 568, 640, 401, 691, 730]",0.0
11,3,13,8,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[507, 601]","[50, 68, 165, 185, 292, 306, 397, 466, 531, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[50, 68, 165, 185, 292, 306, 397, 466, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[601, 507, 168, 568, 438, 135, 93, 129, 114, 65, 152, 265, 125, 133, 49, 23, 190, 41, 117, 172]",0.0
11,5,27,27,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]",[789],"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 799, 807, 823, 829]","[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 799, 807, 823, 829]","[920, 316, 1151, 318, 351, 39, 244, 5, 333, 219, 513, 1136, 274, 516, 336, 232, 867, 791, 789, 353]",0.0
19,1,18,3,"[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161]","[995, 1128]","[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 1047, 1058, 1161]","[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 1047, 1058, 1128, 1161]","[1128, 995, 210, 114, 643, 744, 20, 715, 98, 190, 133, 6, 128, 274, 218, 65, 27, 45, 125, 23]",0.0
19,3,24,9,"[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161]","[995, 1058]","[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 1047, 1128, 1161]","[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 1047, 1058, 1128, 1161]","[1058, 63, 377, 738, 644, 677, 749, 125, 45, 612, 23, 218, 715, 587, 210, 744, 995, 27, 663, 97]",0.0
19,5,45,8,"[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161]","[995, 1128]","[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 1047, 1058, 1161]","[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 1047, 1058, 1128, 1161]","[1128, 995, 114, 190, 98, 210, 643, 744, 663, 20, 715, 128, 133, 97, 65, 218, 45, 23, 125, 27]",0.0
23,7,885,885,"[39, 91, 152, 203, 324, 378, 462, 520, 602, 719, 948, 958, 1054, 1159, 1246, 1254, 1259, 1267, 1272, 1284]",[1284],"[39, 91, 152, 203, 324, 378, 462, 520, 602, 719, 948, 958, 1054, 1159, 1246, 1254, 1259, 1267, 1272]","[39, 91, 152, 203, 324, 378, 462, 520, 602, 719, 948, 958, 1054, 1159, 1246, 1254, 1259, 1267, 1272]","[322, 662, 986, 630, 2301, 1454, 102, 339, 122, 1457, 1452, 961, 560, 1241, 1284, 2233, 1450, 1451, 1238, 1232]",0.0
26,1,11,9,"[4, 11, 15, 83, 140, 216, 391, 581, 657, 930, 1024, 1059, 1191, 1277, 1320, 1339, 1350, 1353, 1408, 1426]","[83, 1350]","[4, 11, 15, 140, 216, 391, 581, 657, 930, 1024, 1059, 1191, 1277, 1320, 1339, 1353, 1408, 1426]","[4, 11, 15, 83, 140, 216, 391, 581, 657, 930, 1024, 1059, 1191, 1277, 1320, 1339, 1353, 1408, 1426]","[83, 1350, 148, 201, 568, 766, 425, 1420, 53, 211, 466, 1235, 1309, 205, 793, 1150, 926, 524, 429, 800]",0.0
28,1,18,2,"[41, 56, 83, 97, 106, 171, 218, 377, 383, 417, 543, 609, 724, 727, 1062, 1065, 1211, 1459, 1462, 1463]","[1065, 1459]","[41, 56, 83, 97, 106, 171, 218, 377, 383, 417, 543, 609, 724, 727, 1062, 1211, 1462, 1463]","[41, 56, 83, 97, 106, 171, 218, 377, 383, 417, 543, 609, 724, 727, 1062, 1065, 1211, 1462, 1463]","[1065, 1459, 2044, 1632, 650, 2042, 47, 613, 15, 633, 9, 38, 1624, 415, 1576, 722, 12, 1762, 3, 1532]",0.0
28,3,15,8,"[41, 56, 83, 97, 106, 171, 218, 377, 383, 417, 543, 609, 724, 727, 1062, 1065, 1211, 1459, 1462, 1463]","[609, 1211]","[41, 56, 83, 97, 106, 171, 218, 377, 383, 417, 543, 724, 727, 1062, 1065, 1459, 1462, 1463]","[41, 56, 83, 97, 106, 171, 218, 377, 383, 417, 543, 609, 724, 727, 1062, 1065, 1459, 1462, 1463]","[609, 1211, 1451, 3, 1765, 1510, 1279, 77, 122, 1449, 1466, 1455, 586, 1583, 1196, 1452, 646, 649, 1261, 1504]",0.0
29,1,10,3,"[114, 118, 196, 211, 212, 214, 215, 223, 387, 434, 616, 647, 703, 729, 1072, 1469, 1473, 1475, 1480, 1482]","[114, 729, 1469, 1480]","[118, 196, 211, 212, 214, 215, 223, 387, 434, 616, 647, 703, 1072, 1473, 1475, 1482]","[118, 196, 211, 212, 214, 215, 223, 387, 434, 616, 647, 703, 1072, 1473, 1475, 1480, 1482]","[1480, 729, 114, 1469, 1229, 176, 793, 178, 184, 218, 58, 206, 14, 643, 20, 187, 588, 386, 712, 756]",0.0
34,1,12,2,"[4, 8, 92, 145, 149, 181, 222, 376, 507, 553, 559, 577, 605, 693, 730, 1043, 1219, 1257, 1339, 1501]","[507, 730]","[4, 8, 92, 145, 149, 181, 222, 376, 553, 559, 577, 605, 693, 1043, 1219, 1257, 1339, 1501]","[4, 8, 92, 145, 149, 181, 222, 376, 507, 553, 559, 577, 605, 693, 1043, 1219, 1257, 1339, 1501]","[507, 291, 117, 640, 127, 815, 165, 538, 383, 438, 401, 522, 90, 265, 691, 172, 901, 730, 397, 568]",0.0
35,1,10,2,"[111, 141, 168, 384, 418, 530, 577, 694, 774, 809, 1196, 1395, 1612, 1626, 1628, 1629, 1631, 1643, 1647, 1651]","[168, 1651]","[111, 141, 384, 418, 530, 577, 694, 774, 809, 1196, 1395, 1612, 1626, 1628, 1629, 1631, 1643, 1647]","[111, 141, 384, 418, 530, 577, 694, 774, 809, 1196, 1395, 1612, 1626, 1628, 1629, 1631, 1643, 1647, 1651]","[1651, 98, 65, 168, 24, 68, 129, 247, 245, 211, 49, 214, 210, 218, 52, 128, 125, 45, 435, 670]",0.0
40,1,71,6,"[6, 7, 127, 188, 196, 278, 623, 645, 647, 990, 1076, 1089, 1185, 1240, 1249, 1467, 1548, 1698, 1699, 1702]","[1240, 1467, 1702]","[6, 7, 127, 188, 196, 278, 623, 645, 647, 990, 1076, 1089, 1185, 1249, 1548, 1698, 1699]","[6, 7, 127, 188, 196, 278, 623, 645, 647, 990, 1076, 1089, 1185, 1240, 1249, 1548, 1698, 1699]","[1240, 1467, 1702, 129, 52, 168, 105, 65, 63, 45, 128, 79, 125, 152, 190, 133, 114, 98, 49, 93]",0.0
44,3,58,58,"[14, 21, 30, 97, 167, 190, 203, 206, 219, 386, 617, 720, 738, 756, 848, 897, 912, 1067, 1426, 1737]",[912],"[14, 21, 30, 97, 167, 190, 203, 206, 219, 386, 617, 720, 738, 756, 848, 897, 1067, 1426, 1737]","[14, 21, 30, 97, 167, 190, 203, 206, 219, 386, 617, 720, 738, 756, 848, 897, 1067, 1426, 1737]","[591, 94, 149, 118, 556, 741, 87, 1076, 256, 776, 156, 126, 433, 912, 1119, 189, 648, 376, 223, 910]",0.0
44,5,10,10,"[14, 21, 30, 97, 167, 190, 203, 206, 219, 386, 617, 720, 738, 756, 848, 897, 912, 1067, 1426, 1737]",[912],"[14, 21, 30, 97, 167, 190, 203, 206, 219, 386, 617, 720, 738, 756, 848, 897, 1067, 1426, 1737]","[14, 21, 30, 97, 167, 190, 203, 206, 219, 386, 617, 720, 738, 756, 848, 897, 1067, 1426, 1737]","[556, 264, 524, 906, 1180, 326, 337, 716, 910, 791, 1116, 1150, 243, 585, 911, 483, 912, 375, 1156, 1119]",0.0
48,7,10,10,"[132, 146, 562, 566, 710, 906, 969, 1092, 1150, 1191, 1254, 1260, 1298, 1347, 1392, 1403, 1418, 1461, 1773, 1864]",[1260],"[132, 146, 562, 566, 710, 906, 969, 1092, 1150, 1191, 1254, 1298, 1347, 1392, 1403, 1418, 1461, 1773, 1864]","[132, 146, 562, 566, 710, 906, 969, 1092, 1150, 1191, 1254, 1298, 1347, 1392, 1403, 1418, 1461, 1773, 1864]","[1076, 1260, 1251, 1064, 556, 1199, 99, 108, 684, 1095, 1716, 1030, 565, 1724, 1210, 1104, 1656, 1727, 1185, 1054]",0.0
49,1,11,9,"[31, 33, 35, 44, 58, 65, 94, 121, 125, 133, 136, 146, 161, 468, 536, 776, 1146, 1563, 1684, 1879]","[146, 1879]","[31, 33, 35, 44, 58, 65, 94, 121, 125, 133, 136, 161, 468, 536, 776, 1146, 1563, 1684]","[31, 33, 35, 44, 58, 65, 94, 121, 125, 133, 136, 146, 161, 468, 536, 776, 1146, 1563, 1684]","[146, 1879, 433, 844, 156, 87, 127, 63, 151, 79, 648, 118, 126, 152, 190, 114, 265, 196, 149, 59]",0.0
49,5,11,11,"[31, 33, 35, 44, 58, 65, 94, 121, 125, 133, 136, 146, 161, 468, 536, 776, 1146, 1563, 1684, 1879]",[125],"[31, 33, 35, 44, 58, 65, 94, 121, 133, 136, 146, 161, 468, 536, 776, 1146, 1563, 1684, 1879]","[31, 33, 35, 44, 58, 65, 94, 121, 133, 136, 146, 161, 468, 536, 776, 1146, 1563, 1684, 1879]","[715, 152, 49, 93, 59, 433, 27, 23, 606, 128, 218, 529, 156, 125, 98, 114, 63, 45, 190, 61]",0.0
52,5,11,6,"[59, 80, 84, 121, 126, 147, 158, 161, 190, 203, 223, 434, 513, 591, 652, 838, 851, 900, 1869, 1890]","[59, 1890]","[80, 84, 121, 126, 147, 158, 161, 190, 203, 223, 434, 513, 591, 652, 838, 851, 900, 1869]","[80, 84, 121, 126, 147, 158, 161, 190, 203, 223, 434, 513, 591, 652, 838, 851, 900, 1869, 1890]","[1890, 529, 98, 739, 61, 63, 127, 556, 1059, 565, 433, 1076, 620, 776, 59, 156, 114, 606, 134, 87]",0.0
58,1,24,3,"[113, 143, 533, 539, 557, 559, 565, 600, 656, 677, 734, 800, 1049, 1191, 1251, 1720, 1723, 1837, 1990, 2017]","[1049, 1251, 1723, 1837]","[113, 143, 533, 539, 557, 559, 565, 600, 656, 677, 734, 800, 1191, 1720, 1990, 2017]","[113, 143, 533, 539, 557, 559, 565, 600, 656, 677, 734, 800, 1049, 1191, 1720, 1990, 2017]","[1049, 1251, 1723, 1837, 865, 1727, 1275, 1185, 676, 768, 587, 645, 1082, 1102, 642, 1096, 1134, 841, 935, 1243]",0.0
58,5,17,6,"[113, 143, 533, 539, 557, 559, 565, 600, 656, 677, 734, 800, 1049, 1191, 1251, 1720, 1723, 1837, 1990, 2017]","[1049, 1723]","[113, 143, 533, 539, 557, 559, 565, 600, 656, 677, 734, 800, 1191, 1251, 1720, 1837, 1990, 2017]","[113, 143, 533, 539, 557, 559, 565, 600, 656, 677, 734, 800, 1049, 1191, 1251, 1720, 1837, 1990, 2017]","[1049, 1723, 1260, 1716, 1210, 1095, 556, 134, 99, 1656, 108, 955, 1199, 1724, 1059, 879, 1104, 1727, 1185, 1064]",0.0
58,7,10,9,"[113, 143, 533, 539, 557, 559, 565, 600, 656, 677, 734, 800, 1049, 1191, 1251, 1720, 1723, 1837, 1990, 2017]","[113, 1837]","[143, 533, 539, 557, 559, 565, 600, 656, 677, 734, 800, 1049, 1191, 1251, 1720, 1723, 1990, 2017]","[113, 143, 533, 539, 557, 559, 565, 600, 656, 677, 734, 800, 1049, 1191, 1251, 1720, 1723, 1990, 2017]","[113, 1837, 1716, 1104, 134, 1102, 763, 1260, 620, 99, 108, 556, 1724, 606, 1076, 1675, 1727, 1656, 1185, 1210]",0.0
