user_id,target_pos,mid_pos,last_pos,original_interactions,items_removed,exclusion_interactions,inclusion_interactions,worst_jac,same_interactions
5,1,15,1,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[329, 331, 359]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 357, 358, 372]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 357, 358, 372, 331]","[331, 359, 594, 19, 1578, 507, 492, 508, 329, 480, 440, 293, 510, 485, 439, 325, 447, 543, 521, 461]",0.0
5,5,10,4,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]",[372],"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 439]","[383, 172, 439, 117, 522, 1257, 730, 21, 372, 336, 815, 222, 568, 397, 535, 291, 901, 538, 165, 90]",0.0
5,7,11,1,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[130, 358]","[60, 107, 123, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 359, 372]","[60, 107, 123, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 359, 372, 130]","[130, 358, 1195, 568, 291, 135, 438, 172, 1257, 165, 401, 815, 548, 770, 177, 730, 397, 222, 117, 383]",0.0
9,7,10,2,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]",[323],"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 337, 506, 523, 529, 539, 549]","[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 337, 506, 523, 529, 539, 549, 323]","[323, 59, 265, 128, 49, 152, 218, 23, 433, 156, 93, 45, 65, 125, 61, 161, 63, 133, 98, 190]",0.0
10,7,19,1,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[660, 662]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 671, 734, 742, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 671, 734, 742, 759, 660]","[660, 662, 274, 114, 190, 98, 210, 643, 744, 663, 715, 128, 133, 97, 65, 218, 45, 23, 125, 27]",0.0
11,5,27,2,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]",[789],"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 799, 807, 823, 829]","[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 799, 807, 823, 829, 513]","[920, 316, 1151, 318, 351, 39, 244, 5, 333, 219, 513, 1136, 274, 516, 336, 232, 867, 791, 789, 353]",0.0
15,5,11,0,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]",[826],"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 851, 872, 894, 901, 915, 922, 926]","[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 851, 872, 894, 901, 915, 922, 926, 826]","[826, 185, 513, 105, 291, 39, 274, 336, 316, 351, 1151, 244, 318, 1136, 232, 867, 791, 516, 353, 789]",0.0
17,7,10,5,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]",[373],"[11, 21, 91, 117, 118, 150, 278, 323, 349, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 91, 117, 118, 150, 278, 323, 349, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010, 23]","[373, 604, 1019, 215, 1467, 23, 587, 212, 27, 45, 759, 218, 715, 1242, 210, 744, 663, 97, 612, 995]",0.0
18,1,23,1,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]",[1099],"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1109]","[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1109, 1099]","[1099, 744, 49, 63, 61, 187, 190, 114, 6, 210, 715, 27, 98, 23, 133, 218, 128, 65, 45, 125]",0.0
18,7,11,4,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]",[567],"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109, 715]","[567, 210, 114, 643, 744, 20, 715, 98, 190, 14, 133, 6, 128, 274, 218, 65, 27, 45, 125, 23]",0.0
