user_id,target_pos,mid_pos,last_pos,original_interactions,items_removed,exclusion_interactions,inclusion_interactions,worst_jac,same_interactions
9,1,23,1,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]",[549],"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539]","[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[549, 291, 168, 568, 438, 135, 93, 129, 65, 152, 265, 125, 133, 49, 23, 165, 190, 41, 117, 172]",1.0
9,3,17,3,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]",[549],"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539]","[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[549, 149, 516, 245, 901, 383, 146, 522, 14, 172, 535, 222, 41, 21, 177, 165, 117, 336, 538, 291]",1.0
15,1,13,1,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]",[926],"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922]","[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[926, 640, 127, 1257, 815, 165, 538, 383, 438, 401, 222, 522, 90, 265, 691, 172, 149, 730, 397, 568]",1.0
15,3,67,3,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]",[926],"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922]","[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[926, 131, 152, 433, 149, 161, 134, 127, 59, 79, 80, 75, 121, 265, 151, 196, 147, 118, 126, 896]",1.0
17,5,13,5,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]",[1010],"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009]","[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[1010, 218, 1076, 61, 776, 27, 98, 606, 739, 433, 97, 252, 114, 190, 133, 63, 897, 156, 161, 539]",1.0
23,3,391,3,"[39, 91, 152, 203, 324, 378, 462, 520, 602, 719, 948, 958, 1054, 1159, 1246, 1254, 1259, 1267, 1272, 1284]",[1284],"[39, 91, 152, 203, 324, 378, 462, 520, 602, 719, 948, 958, 1054, 1159, 1246, 1254, 1259, 1267, 1272]","[39, 91, 152, 203, 324, 378, 462, 520, 602, 719, 948, 958, 1054, 1159, 1246, 1254, 1259, 1267, 1272, 1284]","[1284, 1452, 1451, 663, 767, 744, 1450, 720, 219, 322, 662, 612, 1238, 122, 1241, 421, 630, 961, 560, 339]",1.0
23,7,885,7,"[39, 91, 152, 203, 324, 378, 462, 520, 602, 719, 948, 958, 1054, 1159, 1246, 1254, 1259, 1267, 1272, 1284]",[1284],"[39, 91, 152, 203, 324, 378, 462, 520, 602, 719, 948, 958, 1054, 1159, 1246, 1254, 1259, 1267, 1272]","[39, 91, 152, 203, 324, 378, 462, 520, 602, 719, 948, 958, 1054, 1159, 1246, 1254, 1259, 1267, 1272, 1284]","[322, 662, 986, 630, 2301, 1454, 102, 339, 122, 1457, 1452, 961, 560, 1241, 1284, 2233, 1450, 1451, 1238, 1232]",1.0
24,7,41,7,"[6, 44, 97, 187, 264, 393, 397, 401, 419, 587, 604, 648, 670, 677, 777, 861, 901, 1039, 1166, 1313]",[1313],"[6, 44, 97, 187, 264, 393, 397, 401, 419, 587, 604, 648, 670, 677, 777, 861, 901, 1039, 1166]","[6, 44, 97, 187, 264, 393, 397, 401, 419, 587, 604, 648, 670, 677, 777, 861, 901, 1039, 1166, 1313]","[1313, 844, 134, 241, 265, 320, 850, 151, 149, 80, 121, 59, 118, 127, 196, 131, 896, 147, 126, 138]",1.0
29,7,18,7,"[114, 118, 196, 211, 212, 214, 215, 223, 387, 434, 616, 647, 703, 729, 1072, 1469, 1473, 1475, 1480, 1482]",[1482],"[114, 118, 196, 211, 212, 214, 215, 223, 387, 434, 616, 647, 703, 729, 1072, 1469, 1473, 1475, 1480]","[114, 118, 196, 211, 212, 214, 215, 223, 387, 434, 616, 647, 703, 729, 1072, 1469, 1473, 1475, 1480, 1482]","[1482, 714, 140, 857, 1372, 1272, 1042, 1704, 206, 1476, 976, 1069, 217, 1113, 1157, 1155, 1023, 1020, 1070, 1114]",1.0
31,1,20,1,"[84, 85, 190, 275, 518, 535, 615, 626, 643, 677, 689, 732, 778, 833, 934, 1257, 1281, 1305, 1492, 1520]",[1520],"[84, 85, 190, 275, 518, 535, 615, 626, 643, 677, 689, 732, 778, 833, 934, 1257, 1281, 1305, 1492]","[84, 85, 190, 275, 518, 535, 615, 626, 643, 677, 689, 732, 778, 833, 934, 1257, 1281, 1305, 1492, 1520]","[1520, 386, 1186, 169, 696, 178, 793, 425, 20, 548, 1311, 1043, 199, 14, 1299, 1302, 184, 1211, 1314, 1309]",1.0
