user_id,target_pos,mid_pos,last_pos,original_interactions,items_removed,exclusion_interactions,inclusion_interactions,worst_jac,same_interactions
5,3,11,5,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[123, 372]","[60, 107, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359]","[60, 107, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 123]","[123, 372, 1529, 1025, 397, 2154, 222, 1527, 804, 691, 370, 730, 577, 640, 1195, 383, 401, 829, 418, 413]",0.0
8,1,10,2,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[86, 323, 384, 478, 511]","[60, 119, 236, 360, 443, 444, 450, 453, 456, 457, 461, 472, 473, 481, 514]","[60, 119, 236, 360, 443, 444, 450, 453, 456, 457, 461, 472, 473, 481, 514, 323]","[384, 323, 86, 478, 511, 227, 946, 1265, 367, 492, 521, 96, 76, 239, 285, 440, 485, 325, 313, 1999]",0.0
8,3,11,4,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[478, 511]","[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 481, 514]","[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 481, 514, 478]","[478, 511, 1968, 1303, 305, 439, 543, 492, 313, 508, 19, 1277, 1420, 594, 447, 1578, 485, 440, 1310, 266]",0.0
8,5,14,6,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]",[511],"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 514]","[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 514, 511]","[511, 291, 919, 770, 1424, 276, 366, 538, 285, 329, 261, 829, 815, 528, 521, 358, 372, 90, 1310, 1277]",0.0
8,7,10,8,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]",[511],"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 514]","[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 514, 1097]","[293, 1097, 511, 492, 888, 266, 57, 19, 313, 519, 466, 927, 372, 439, 705, 521, 440, 594, 485, 508]",0.0
9,5,53,9,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]",[523],"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 529, 539, 549]","[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 529, 539, 549, 523]","[523, 640, 127, 1257, 815, 165, 538, 383, 438, 401, 222, 522, 265, 691, 172, 149, 901, 730, 397, 568]",0.0
10,1,58,6,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]",[742],"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 759, 637]","[206, 676, 637, 865, 1096, 425, 188, 643, 755, 574, 742, 559, 768, 657, 843, 1038, 718, 679, 623, 674]",0.0
10,3,36,6,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[734, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 742]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 742, 759]","[734, 759, 548, 199, 1229, 176, 793, 178, 184, 218, 58, 206, 14, 643, 187, 211, 588, 386, 712, 756]",0.0
10,5,19,6,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]",[742],"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 759, 178]","[559, 793, 712, 386, 756, 588, 548, 178, 6, 738, 16, 169, 27, 184, 274, 23, 14, 742, 425, 643]",0.0
11,1,26,9,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]",[829],"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823]","[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 535]","[535, 117, 149, 567, 829, 222, 172, 90, 438, 522, 901, 815, 383, 1195, 1257, 568, 640, 401, 691, 730]",0.0
