user_id,target_pos,inclusion_pos,original_interactions,exclusion_interactions,inclusion_interactions,length_exclusion_cfs,length_inclusion_cfs,inclusion_removed_items,category
5,1,8,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[107, 123, 227, 230, 257, 305, 329, 331, 357, 358, 359]","[107, 123, 227, 230, 257, 305, 329, 331, 357, 358, 359, 2814]",9,1,[2814],0
5,3,8,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 130, 230, 253, 257, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 130, 230, 253, 257, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372, 3586]",4,1,[3586],0
5,5,6,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 315, 324, 329, 331, 358, 359, 372]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 315, 324, 329, 331, 358, 359, 372, 3706]",2,1,[3706],0
5,7,8,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372, 3511]",1,1,[3511],2
8,1,3,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 119, 236, 323, 360, 444, 450, 453, 456, 457, 461, 472, 473, 478, 511, 514]","[60, 86, 119, 236, 323, 360, 444, 450, 453, 456, 457, 461, 472, 473, 478, 511, 514, 3544]",3,1,[3544],0
8,3,4,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 473, 478, 481, 511, 514, 3706]",2,1,[3706],0
8,5,8,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514, 3706]",1,1,[3706],2
8,7,2,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 119, 236, 323, 360, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 119, 236, 323, 360, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514, 3706]",2,1,[3706],0
9,1,9,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[22, 40, 90, 94, 105, 126, 227, 273, 317, 318, 337, 506, 523, 549]","[22, 40, 90, 94, 105, 126, 227, 273, 317, 318, 337, 506, 523, 549, 3340]",6,1,[3340],0
9,3,7,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[40, 90, 94, 114, 126, 227, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[40, 90, 94, 114, 126, 227, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549, 3706]",4,1,[3706],0
9,5,9,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 539, 549]","[24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 539, 549, 3536]",2,1,[3536],0
9,7,9,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[24, 40, 90, 94, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[24, 40, 90, 94, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549, 3706]",2,1,[3706],0
