user_id,target_pos,inclusion_pos,original_interactions,exclusion_interactions,inclusion_interactions,length_exclusion_cfs,length_inclusion_cfs,inclusion_removed_items,category
5,1,8,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[107, 123, 227, 230, 257, 305, 329, 331, 357, 358, 359]","[107, 123, 227, 230, 257, 305, 329, 331, 357, 358, 359, 2742]",9,1,[2742],0
5,3,8,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 130, 230, 253, 257, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 130, 230, 253, 257, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372, 1973]",4,1,[1973],0
5,5,6,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 315, 324, 329, 331, 358, 359, 372]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 315, 324, 329, 331, 358, 359, 372, 297]",2,1,[297],0
5,7,8,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372, 1257]",1,1,[1257],2
8,1,8,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 119, 236, 323, 360, 444, 450, 453, 456, 457, 461, 472, 473, 478, 511, 514]","[60, 86, 119, 236, 323, 360, 444, 450, 453, 456, 457, 461, 472, 473, 478, 511, 514, 1046]",3,1,[1046],0
8,3,9,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 473, 478, 481, 511, 514, 1220]",2,1,[1220],0
8,5,4,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514, 1968]",1,1,[1968],2
8,7,6,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 119, 236, 323, 360, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 119, 236, 323, 360, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514, 670]",2,1,[670],0
9,1,8,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[22, 40, 90, 94, 105, 126, 227, 273, 317, 318, 337, 506, 523, 549]","[22, 40, 90, 94, 105, 126, 227, 273, 317, 318, 337, 506, 523, 549, 1480]",6,1,[1480],0
9,3,7,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[40, 90, 94, 114, 126, 227, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[40, 90, 94, 114, 126, 227, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549, 3545]",4,1,[3545],0
