user_id,target_pos,mid_pos,last_pos,original_interactions,items_removed,exclusion_interactions,inclusion_interactions,worst_jac,same_interactions
8,7,12,7,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]",[444],"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[444, 84, 376, 1203, 1059, 223, 777, 91, 138, 196, 151, 121, 127, 75, 131, 118, 126, 896, 147, 80]",1.0
9,1,25,1,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]",[94],"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[94, 320, 63, 147, 59, 433, 844, 75, 149, 241, 152, 896, 434, 121, 265, 196, 79, 118, 151, 91]",1.0
9,3,10,3,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]",[94],"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[94, 127, 844, 434, 134, 147, 161, 896, 121, 433, 63, 91, 59, 152, 79, 118, 149, 265, 151, 196]",1.0
10,3,15,3,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]",[660],"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[660, 744, 49, 63, 61, 187, 190, 114, 6, 210, 715, 27, 98, 23, 133, 218, 128, 65, 45, 125]",1.0
11,3,35,3,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]",[684],"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823]","[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[684, 98, 118, 776, 87, 274, 739, 556, 606, 1076, 791, 190, 134, 63, 156, 353, 433, 161, 278, 513]",1.0
19,3,182,3,"[1047, 506, 601, 316, 689, 117, 995, 539, 433, 971, 874, 353, 232, 520, 733, 156, 14, 1161, 1128, 1058]",[1058],"[1047, 506, 601, 316, 689, 117, 995, 539, 433, 971, 874, 353, 232, 520, 733, 156, 14, 1161, 1128]","[1047, 506, 601, 316, 689, 117, 995, 539, 433, 971, 874, 353, 232, 520, 733, 156, 14, 1161, 1128, 1058]","[1058, 1716, 1059, 556, 1675, 880, 1656, 777, 606, 1104, 1199, 134, 108, 1727, 1064, 565, 1724, 1185, 955, 879]",1.0
22,1,28,1,"[1222, 739, 567, 1175, 668, 732, 1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102, 1207]",[1207],"[1222, 739, 567, 1175, 668, 732, 1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102]","[1222, 739, 567, 1175, 668, 732, 1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102, 1207]","[1207, 114, 5, 211, 10, 744, 218, 20, 39, 65, 23, 643, 278, 45, 27, 6, 588, 125, 274, 219]",1.0
22,5,113,5,"[1222, 739, 567, 1175, 668, 732, 1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102, 1207]",[1207],"[1222, 739, 567, 1175, 668, 732, 1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102]","[1222, 739, 567, 1175, 668, 732, 1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102, 1207]","[1207, 6, 274, 114, 190, 98, 210, 643, 744, 663, 20, 715, 133, 97, 65, 218, 45, 23, 125, 27]",1.0
23,1,19,1,"[378, 324, 1254, 1159, 1284, 39, 152, 958, 1259, 462, 948, 91, 520, 719, 203, 1246, 1272, 1267, 602, 1054]",[1054],"[378, 324, 1254, 1159, 1284, 39, 152, 958, 1259, 462, 948, 91, 520, 719, 203, 1246, 1272, 1267, 602]","[378, 324, 1254, 1159, 1284, 39, 152, 958, 1259, 462, 948, 91, 520, 719, 203, 1246, 1272, 1267, 602, 1054]","[1054, 98, 65, 168, 24, 68, 129, 247, 245, 211, 49, 214, 210, 218, 52, 128, 125, 45, 435, 670]",1.0
24,1,214,1,"[677, 1039, 6, 393, 97, 861, 397, 648, 401, 419, 1166, 1313, 777, 901, 264, 44, 187, 587, 670, 604]",[604],"[677, 1039, 6, 393, 97, 861, 397, 648, 401, 419, 1166, 1313, 777, 901, 264, 44, 187, 587, 670]","[677, 1039, 6, 393, 97, 861, 397, 648, 401, 419, 1166, 1313, 777, 901, 264, 44, 187, 587, 670, 604]","[604, 738, 1102, 606, 1019, 1243, 755, 976, 857, 529, 768, 763, 841, 644, 120, 620, 647, 1134, 645, 642]",1.0
