user_id,target_pos,target_item,original_interactions,best_interactions,cfs,len_cfs
5,1,471,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 329, 227, 107, 305, 266, 315, 60, 331, 123, 357]","[130, 239, 253, 257, 301, 324, 358, 359, 372]",9
5,3,461,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 257, 359, 130, 358, 329, 227, 324, 301, 107, 305, 315, 60, 331, 123, 357]","[239, 253, 266, 372]",4
5,5,325,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 266, 315, 60, 331, 123]","[305, 357]",2
5,7,383,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 257, 359, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]",[130],1
8,1,438,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 119, 450, 453, 444]","[384, 461, 481]",3
8,3,1369,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 514, 456, 481, 450, 453, 444]","[119, 472]",2
8,5,1439,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 450, 453, 444]",[119],1
8,7,28,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[461, 236, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[384, 478]",2
9,1,98,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[105, 126, 523, 22, 337, 40, 506, 318, 317, 90, 227, 273, 549, 94]","[24, 114, 268, 323, 529, 539]",6
9,3,93,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[126, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 268, 523]",4
9,5,1015,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 94]","[126, 529]",2
9,7,245,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105]",2
10,1,604,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 569, 563, 22, 42, 612, 671, 15, 547, 11, 662, 435, 660]","[592, 613]",2
10,3,27,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[734, 647, 759, 592, 569, 563, 22, 42, 612, 671, 547, 613, 11, 662, 435, 660]","[15, 20, 539, 742]",4
10,5,41,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 563, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]",[22],1
10,7,125,"[539, 734, 647, 759, 742, 20, 592, 569, 563, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]","[539, 734, 647, 759, 742, 20, 592, 569, 22, 42, 612, 671, 15, 547, 613, 11, 662, 435, 660]",[563],1
11,1,105,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[746, 165, 397, 466, 531, 306, 789, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[68, 185, 292, 507]",4
11,3,383,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[165, 746]",2
11,5,291,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[165, 292, 397, 466, 531, 306, 789, 185, 50, 829, 799, 601, 639, 704, 823, 684]","[68, 507, 746, 807]",4
11,7,1201,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]",[746],1
15,1,196,"[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 915, 851, 188, 125, 623]","[117, 471, 377, 399, 21, 872, 901, 926, 826, 515, 922, 94, 894, 915, 851, 125, 623]","[91, 123, 188]",3
15,3,265,"[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 915, 851, 188, 125, 623]","[117, 471, 377, 399, 21, 872, 901, 926, 826, 515, 922, 94, 894, 915, 851, 188, 125, 623]","[91, 123]",2
15,5,156,"[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 915, 851, 188, 125, 623]","[117, 471, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 915, 851, 188, 125, 623]",[377],1
15,7,118,"[117, 471, 377, 91, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 915, 851, 188, 125, 623]","[117, 471, 377, 399, 21, 872, 901, 926, 826, 123, 515, 922, 94, 894, 915, 851, 188, 125, 623]",[91],1
17,1,98,"[373, 11, 960, 117, 150, 118, 349, 21, 91, 377, 741, 749, 278, 323, 990, 1009, 529, 970, 978, 1010]","[373, 11, 960, 117, 150, 118, 21, 91, 377, 323, 978, 1010]","[278, 349, 529, 741, 749, 970, 990, 1009]",8
17,3,152,"[373, 11, 960, 117, 150, 118, 349, 21, 91, 377, 741, 749, 278, 323, 990, 1009, 529, 970, 978, 1010]","[11, 21, 377, 741, 749, 278, 323, 990, 1009, 529, 970, 978, 1010]","[91, 117, 118, 150, 349, 373, 960]",7
17,5,433,"[373, 11, 960, 117, 150, 118, 349, 21, 91, 377, 741, 749, 278, 323, 990, 1009, 529, 970, 978, 1010]","[373, 11, 960, 117, 150, 349, 21, 377, 741, 749, 278, 990, 1009, 529, 970, 978, 1010]","[91, 118, 323]",3
17,7,539,"[373, 11, 960, 117, 150, 118, 349, 21, 91, 377, 741, 749, 278, 323, 990, 1009, 529, 970, 978, 1010]","[11, 960, 117, 118, 349, 21, 91, 377, 741, 749, 278, 323, 990, 1009, 529, 970, 978, 1010]","[150, 373]",2
18,1,168,"[31, 1044, 1061, 1051, 567, 402, 1109, 260, 245, 58, 475, 105, 1099, 795, 951, 1050, 471, 354, 686, 417]","[31, 1044, 1061, 1051, 567, 402, 1109, 58, 475, 1099, 795, 951, 1050, 471, 354, 686, 417]","[105, 245, 260]",3
18,3,383,"[31, 1044, 1061, 1051, 567, 402, 1109, 260, 245, 58, 475, 105, 1099, 795, 951, 1050, 471, 354, 686, 417]","[1044, 1051, 567, 402, 1109, 260, 245, 58, 475, 105, 1099, 795, 951, 1050, 471, 354, 686, 417]","[31, 1061]",2
18,5,172,"[31, 1044, 1061, 1051, 567, 402, 1109, 260, 245, 58, 475, 105, 1099, 795, 951, 1050, 471, 354, 686, 417]","[1044, 1061, 1051, 402, 1109, 260, 245, 58, 105, 1099, 795, 951, 1050, 471, 354, 686, 417]","[31, 475, 567]",3
18,7,438,"[31, 1044, 1061, 1051, 567, 402, 1109, 260, 245, 58, 475, 105, 1099, 795, 951, 1050, 471, 354, 686, 417]","[1044, 1061, 1051, 567, 402, 1109, 260, 245, 58, 475, 105, 1099, 795, 951, 1050, 471, 354, 686, 417]",[31],1
19,1,734,"[1047, 506, 601, 316, 689, 117, 995, 539, 433, 971, 874, 353, 232, 520, 733, 156, 14, 1161, 1128, 1058]","[1047, 506, 601, 316, 689, 117, 995, 539, 874, 353, 232, 520, 733, 14, 1161, 1128, 1058]","[156, 433, 971]",3
19,3,513,"[1047, 506, 601, 316, 689, 117, 995, 539, 433, 971, 874, 353, 232, 520, 733, 156, 14, 1161, 1128, 1058]","[1047, 506, 601, 316, 689, 117, 995, 539, 874, 353, 232, 520, 733, 156, 14, 1161, 1128, 1058]","[433, 971]",2
19,5,244,"[1047, 506, 601, 316, 689, 117, 995, 539, 433, 971, 874, 353, 232, 520, 733, 156, 14, 1161, 1128, 1058]","[1047, 506, 601, 689, 117, 995, 539, 433, 971, 874, 353, 232, 520, 733, 156, 14, 1161, 1128, 1058]",[316],1
19,7,1015,"[1047, 506, 601, 316, 689, 117, 995, 539, 433, 971, 874, 353, 232, 520, 733, 156, 14, 1161, 1128, 1058]","[506, 601, 316, 689, 117, 995, 539, 433, 971, 874, 353, 232, 520, 733, 156, 14, 1161, 1128, 1058]",[1047],1
22,1,61,"[1222, 739, 567, 1175, 668, 732, 1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102, 1207]","[1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102, 1207]","[567, 668, 732, 739, 1175, 1222]",6
22,3,645,"[1222, 739, 567, 1175, 668, 732, 1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102, 1207]","[1222, 567, 1175, 668, 732, 1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1207]","[739, 1102]",2
22,5,620,"[1222, 739, 567, 1175, 668, 732, 1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102, 1207]","[1222, 567, 1175, 668, 732, 1224, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102, 1207]","[739, 776]",2
22,7,606,"[1222, 739, 567, 1175, 668, 732, 1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102, 1207]","[567, 1175, 668, 732, 1224, 776, 161, 1064, 1150, 73, 623, 1183, 128, 742, 187, 215, 1102, 1207]","[739, 1222]",2
