user_id,target_pos,target_item,original_interactions,best_interactions,cfs,len_cfs
5,1,461,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 357, 358, 372]","[329, 331, 359]",3
5,3,413,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359]","[123, 372]",2
5,5,90,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359]",[372],1
5,7,383,"[60, 107, 123, 130, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 358, 359, 372]","[60, 107, 123, 227, 230, 239, 253, 257, 266, 301, 305, 315, 324, 329, 331, 357, 359, 372]","[130, 358]",2
8,1,1999,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 119, 236, 360, 443, 444, 450, 453, 456, 457, 461, 472, 473, 481, 514]","[86, 323, 384, 478, 511]",5
8,3,266,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 481, 514]","[478, 511]",2
8,5,1277,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 514]",[511],1
8,7,508,"[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 511, 514]","[60, 86, 119, 236, 323, 360, 384, 443, 444, 450, 453, 456, 457, 461, 472, 473, 478, 481, 514]",[511],1
9,1,172,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539]",[549],1
9,3,291,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539]",[549],1
9,5,568,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 529, 539, 549]",[523],1
9,7,190,"[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 323, 337, 506, 523, 529, 539, 549]","[22, 24, 40, 90, 94, 105, 114, 126, 227, 268, 273, 317, 318, 337, 506, 523, 529, 539, 549]",[323],1
10,1,674,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 759]",[742],1
10,3,756,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 742]","[734, 759]",2
10,5,643,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 759]",[742],1
10,7,27,"[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 660, 662, 671, 734, 742, 759]","[11, 15, 20, 22, 42, 435, 539, 547, 563, 569, 592, 612, 613, 647, 671, 734, 742, 759]","[660, 662]",2
11,1,730,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823]",[829],1
11,3,172,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[50, 68, 165, 185, 292, 306, 397, 466, 531, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[507, 601]",2
11,5,353,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 799, 807, 823, 829]",[789],1
11,7,1432,"[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 746, 789, 799, 807, 823, 829]","[50, 68, 165, 185, 292, 306, 397, 466, 507, 531, 601, 639, 684, 704, 789, 799, 807, 823, 829]",[746],1
15,1,568,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922]",[926],1
15,3,896,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922]",[926],1
15,5,789,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 851, 872, 894, 901, 915, 922, 926]",[826],1
15,7,466,"[21, 91, 94, 117, 123, 125, 188, 377, 399, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]","[21, 91, 94, 117, 123, 125, 188, 377, 471, 515, 623, 826, 851, 872, 894, 901, 915, 922, 926]",[399],1
17,1,97,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1010]",[1009],1
17,3,897,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 960, 970, 978, 990, 1009, 1010]",[749],1
17,5,539,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009]",[1010],1
17,7,995,"[11, 21, 91, 117, 118, 150, 278, 323, 349, 373, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]","[11, 21, 91, 117, 118, 150, 278, 323, 349, 377, 529, 741, 749, 960, 970, 978, 990, 1009, 1010]",[373],1
18,1,125,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1109]",[1099],1
18,3,45,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]",[567],1
18,5,168,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]",[567],1
18,7,23,"[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 567, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]","[31, 58, 105, 245, 260, 354, 402, 417, 471, 475, 686, 795, 951, 1044, 1050, 1051, 1061, 1099, 1109]",[567],1
19,1,23,"[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 995, 1047, 1058, 1128, 1161]","[14, 117, 156, 232, 316, 353, 433, 506, 520, 539, 601, 689, 733, 874, 971, 1047, 1058, 1161]","[995, 1128]",2
