user_id,target_pos,mid_pos,last_pos,original_interactions,items_removed,exclusion_interactions,inclusion_interactions,worst_jac,same_interactions
9,5,13,3,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[94, 273]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529, 434]","[273, 94, 434, 59, 91, 117, 165, 433, 118, 712, 63, 291, 157, 190, 196, 79, 265, 152, 149, 146]",0.0
11,5,12,0,"[746, 165, 507, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 601, 807, 639, 704, 823, 684]","[507, 601]","[746, 165, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 807, 639, 704, 823, 684]","[746, 165, 292, 397, 466, 531, 306, 789, 185, 68, 50, 829, 799, 807, 639, 704, 823, 684, 129, 214]","[601, 507, 98, 65, 168, 24, 129, 247, 245, 211, 49, 214, 210, 218, 52, 128, 125, 45, 435, 670]",0.0
26,3,140,3,"[1353, 1350, 4, 1339, 657, 391, 1320, 1408, 930, 1024, 140, 581, 1426, 15, 83, 216, 11, 1059, 1277, 1191]",[1277],"[1353, 1350, 4, 1339, 657, 391, 1320, 1408, 930, 1024, 140, 581, 1426, 15, 83, 216, 11, 1059, 1191]","[1353, 1350, 4, 1339, 657, 391, 1320, 1408, 930, 1024, 140, 581, 1426, 15, 83, 216, 11, 1059, 1191, 165]","[1277, 168, 568, 438, 135, 93, 129, 114, 65, 152, 265, 125, 133, 49, 23, 165, 190, 41, 117, 172]",0.0
29,5,10,2,"[211, 214, 1480, 1475, 1473, 729, 616, 434, 212, 215, 118, 114, 223, 703, 1482, 647, 1072, 1469, 387, 196]","[118, 434, 647]","[211, 214, 1480, 1475, 1473, 729, 616, 212, 215, 114, 223, 703, 1482, 1072, 1469, 387, 196]","[211, 214, 1480, 1475, 1473, 729, 616, 212, 215, 114, 223, 703, 1482, 1072, 1469, 387, 196, 644, 647]","[434, 118, 647, 140, 643, 715, 125, 644, 218, 756, 1019, 128, 648, 58, 587, 712, 386, 187, 206, 588]",0.0
40,1,16,0,"[6, 278, 7, 647, 623, 196, 1249, 645, 188, 127, 1185, 1698, 1467, 1240, 1702, 1699, 990, 1076, 1089, 1548]","[645, 1089, 1548]","[6, 278, 7, 647, 623, 196, 1249, 188, 127, 1185, 1698, 1467, 1240, 1702, 1699, 990, 1076]","[6, 278, 7, 647, 623, 196, 1249, 188, 127, 1185, 1698, 1467, 1240, 1702, 1699, 990, 1076, 1020, 1548, 1157]","[1089, 1548, 645, 1281, 714, 206, 676, 1275, 1020, 1102, 387, 1157, 197, 858, 1074, 1372, 1659, 2293, 1073, 1337]",0.0
44,7,11,6,"[14, 756, 30, 219, 97, 897, 848, 1426, 1737, 21, 912, 203, 617, 1067, 720, 190, 386, 167, 206, 738]",[617],"[14, 756, 30, 219, 97, 897, 848, 1426, 1737, 21, 912, 203, 1067, 720, 190, 386, 167, 206, 738]","[14, 756, 30, 219, 97, 897, 848, 1426, 1737, 21, 912, 203, 1067, 720, 190, 386, 167, 206, 738, 809]","[617, 809, 27, 841, 755, 657, 679, 425, 587, 718, 201, 677, 20, 739, 643, 742, 623, 865, 768, 559]",0.0
49,5,306,4,"[536, 468, 35, 33, 31, 1684, 125, 44, 133, 65, 58, 121, 1563, 146, 94, 1879, 1146, 776, 161, 136]",[136],"[536, 468, 35, 33, 31, 1684, 125, 44, 133, 65, 58, 121, 1563, 146, 94, 1879, 1146, 776, 161]","[536, 468, 35, 33, 31, 1684, 125, 44, 133, 65, 58, 121, 1563, 146, 94, 1879, 1146, 776, 161, 911]","[136, 325, 375, 329, 203, 60, 433, 337, 911, 585, 256, 910, 326, 926, 483, 906, 243, 922, 1119, 912]",0.0
52,5,10,0,"[434, 121, 84, 190, 59, 203, 161, 652, 147, 80, 513, 223, 158, 1869, 851, 1890, 126, 591, 838, 900]",[652],"[434, 121, 84, 190, 59, 203, 161, 147, 80, 513, 223, 158, 1869, 851, 1890, 126, 591, 838, 900]","[434, 121, 84, 190, 59, 203, 161, 147, 80, 513, 223, 158, 1869, 851, 1890, 126, 591, 838, 900, 648]","[652, 134, 844, 91, 837, 850, 896, 151, 1103, 712, 149, 75, 131, 576, 127, 73, 118, 648, 714, 164]",0.0
53,5,32,3,"[790, 488, 594, 1303, 467, 1971, 1849, 448, 495, 1975, 1898, 660, 1907, 444, 514, 1960, 1344, 1276, 1418, 450]","[1276, 1344, 1418]","[790, 488, 594, 1303, 467, 1971, 1849, 448, 495, 1975, 1898, 660, 1907, 444, 514, 1960, 450]","[790, 488, 594, 1303, 467, 1971, 1849, 448, 495, 1975, 1898, 660, 1907, 444, 514, 1960, 450, 1418, 1276, 1439]","[1344, 1418, 1276, 1422, 1408, 1420, 1439, 2094, 1968, 485, 1310, 519, 461, 2145, 266, 305, 2100, 512, 1958, 1381]",0.0
58,3,10,0,"[800, 143, 557, 539, 113, 734, 677, 656, 600, 1990, 2017, 559, 533, 1191, 1837, 565, 1723, 1251, 1720, 1049]","[143, 539, 800, 1049, 1723, 1837]","[557, 113, 734, 677, 656, 600, 1990, 2017, 559, 533, 1191, 565, 1251, 1720]","[557, 113, 734, 677, 656, 600, 1990, 2017, 559, 533, 1191, 565, 1251, 1720, 642, 1082]","[800, 1837, 143, 1049, 539, 1723, 1275, 1185, 676, 768, 587, 645, 1082, 1102, 642, 1096, 1134, 841, 935, 1243]",0.0
