user_id,target_pos,mid_pos,last_pos,original_interactions,best_interactions,neg_pos,worst_jac,result_neg,same
5,1,11,11,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 60]",11,"[257, 357, 331, 315, 123, 507, 492, 508, 480, 440, 293, 510, 485, 439, 325, 447, 266, 543, 521, 461]","[230, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 60, 357]",False
5,3,10,10,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 257, 359, 130, 358, 329, 227, 324, 253, 239, 107, 305, 60, 331, 123, 357]",10,"[266, 315, 372, 301, 466, 438, 766, 40, 53, 90, 521, 492, 511, 19, 705, 440, 313, 485, 439, 594]","[230, 257, 359, 130, 358, 329, 227, 324, 253, 239, 107, 305, 60, 331, 123, 357, 266]",False
5,5,10,10,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[230, 257, 359, 130, 358, 329, 372, 227, 324, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]",10,"[301, 483, 1369, 485, 243, 1420, 151, 439, 438, 462, 127, 265, 2145, 91, 926, 906, 568, 524, 888, 466]","[230, 257, 359, 130, 358, 329, 372, 227, 324, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357, 301]",True
5,7,10,10,"[230, 257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]","[257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357]",10,"[230, 120, 98, 1019, 190, 215, 529, 606, 161, 776, 133, 897, 433, 1015, 252, 63, 377, 156, 539, 323]","[257, 359, 130, 358, 329, 372, 227, 324, 301, 253, 239, 107, 305, 266, 315, 60, 331, 123, 357, 230]",True
8,1,13,13,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[236, 457, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]",13,"[384, 461, 86, 60, 478, 511, 464, 1443, 927, 2145, 1381, 582, 1688, 1385, 705, 488, 888, 519, 512, 1439]","[236, 457, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444, 384]",False
8,3,10,10,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[384, 461, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453]",10,"[444, 236, 1409, 488, 882, 419, 397, 1593, 1339, 829, 641, 1195, 730, 1443, 1325, 401, 640, 577, 691, 1360]","[384, 461, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]",False
8,5,10,10,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 473, 472, 514, 456, 481, 119, 453, 444]",10,"[360, 450, 1912, 1143, 1209, 2672, 2380, 1154, 912, 2260, 1260, 1985, 1119, 911, 761, 585, 1900, 483, 1156, 1329]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 473, 472, 514, 456, 481, 119, 453, 444, 360]",False
8,7,12,12,"[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453]",12,"[444, 84, 376, 1203, 1059, 223, 777, 91, 138, 196, 151, 121, 127, 75, 131, 118, 126, 896, 147, 80]","[384, 461, 236, 478, 86, 457, 511, 60, 323, 443, 360, 473, 472, 514, 456, 481, 119, 450, 453, 444]",True
9,1,25,25,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529]",25,"[94, 320, 63, 147, 59, 433, 844, 75, 149, 241, 152, 896, 434, 121, 265, 196, 79, 118, 151, 91]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]",True
9,3,10,10,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529]",10,"[94, 127, 844, 434, 134, 147, 161, 896, 121, 433, 63, 91, 59, 152, 79, 118, 149, 265, 151, 196]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]",True
9,5,13,13,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529]",13,"[273, 94, 434, 59, 91, 117, 165, 433, 118, 712, 63, 291, 157, 190, 196, 79, 265, 152, 149, 146]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529, 273]",False
9,7,38,38,"[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529, 94]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 273, 114, 549, 323, 529]",38,"[844, 80, 152, 149, 79, 320, 138, 256, 434, 265, 433, 147, 896, 151, 196, 94, 118, 91, 121, 241]","[24, 105, 126, 523, 268, 22, 337, 40, 506, 318, 317, 90, 539, 227, 114, 549, 323, 529, 273]",False
