user_id,target_pos,target_item,original_interactions,best_interactions,cfs,len_cfs
1001,1,518,"[2216, 1678, 509, 3016, 929, 801, 881, 2914, 944, 704, 2284, 252, 2902, 1427, 884, 1437, 2640, 271, 1880, 2451]","[2216, 1678, 509, 3016, 929, 801, 881, 2914, 944, 704, 252, 2902, 1427, 884, 1437, 2640, 1880, 2451]","[271, 2284]",2
1001,3,2057,"[2216, 1678, 509, 3016, 929, 801, 881, 2914, 944, 704, 2284, 252, 2902, 1427, 884, 1437, 2640, 271, 1880, 2451]","[2216, 1678, 509, 3016, 929, 801, 881, 2914, 944, 704, 2284, 252, 2902, 1427, 884, 1437, 2640, 1880, 2451]",[271],1
1001,5,2330,"[2216, 1678, 509, 3016, 929, 801, 881, 2914, 944, 704, 2284, 252, 2902, 1427, 884, 1437, 2640, 271, 1880, 2451]","[2216, 1678, 509, 3016, 929, 801, 881, 2914, 944, 704, 2284, 252, 2902, 1427, 884, 1437, 2640, 1880, 2451]",[271],1
1001,7,1888,"[2216, 1678, 509, 3016, 929, 801, 881, 2914, 944, 704, 2284, 252, 2902, 1427, 884, 1437, 2640, 271, 1880, 2451]","[2216, 1678, 509, 3016, 929, 801, 881, 2914, 944, 704, 2284, 252, 2902, 1427, 884, 1437, 2640, 1880, 2451]",[271],1
1169,1,2553,"[1664, 1530, 1121, 615, 792, 2619, 866, 1597, 1257, 728, 201, 414, 427, 424, 901, 700, 397, 1138, 3137, 2419]","[1664, 1530, 1121, 615, 792, 2619, 1597, 1257, 728, 201, 414, 427, 424, 901, 700, 397, 1138, 3137, 2419]",[866],1
1169,3,1429,"[1664, 1530, 1121, 615, 792, 2619, 866, 1597, 1257, 728, 201, 414, 427, 424, 901, 700, 397, 1138, 3137, 2419]","[1664, 1530, 1121, 615, 792, 2619, 866, 1597, 1257, 728, 201, 414, 427, 424, 901, 700, 397, 1138, 2419]",[3137],1
1169,5,1247,"[1664, 1530, 1121, 615, 792, 2619, 866, 1597, 1257, 728, 201, 414, 427, 424, 901, 700, 397, 1138, 3137, 2419]","[1664, 1530, 1121, 615, 792, 2619, 1597, 1257, 728, 201, 414, 427, 424, 901, 700, 397, 1138, 3137, 2419]",[866],1
1169,7,1219,"[1664, 1530, 1121, 615, 792, 2619, 866, 1597, 1257, 728, 201, 414, 427, 424, 901, 700, 397, 1138, 3137, 2419]","[1664, 1530, 1121, 615, 792, 2619, 1597, 1257, 728, 201, 414, 427, 424, 901, 700, 397, 1138, 3137, 2419]",[866],1
1340,1,70,"[2989, 2781, 2263, 1492, 1279, 1466, 2421, 658, 484, 2083, 1820, 714, 1343, 898, 1818, 533, 2021, 1167, 1173, 652]","[2989, 2781, 2263, 1492, 1279, 1466, 2421, 658, 484, 2083, 1820, 714, 1343, 898, 1818, 533, 2021, 1167, 1173]",[652],1
1340,3,59,"[2989, 2781, 2263, 1492, 1279, 1466, 2421, 658, 484, 2083, 1820, 714, 1343, 898, 1818, 533, 2021, 1167, 1173, 652]","[2989, 2781, 2263, 1492, 1279, 1466, 2421, 658, 484, 2083, 1820, 714, 1343, 898, 1818, 533, 2021, 1173, 652]",[1167],1
1340,5,84,"[2989, 2781, 2263, 1492, 1279, 1466, 2421, 658, 484, 2083, 1820, 714, 1343, 898, 1818, 533, 2021, 1167, 1173, 652]","[2989, 2781, 2263, 1492, 1279, 1466, 2421, 658, 484, 2083, 1820, 714, 1343, 898, 1818, 533, 2021, 1173, 652]",[1167],1
1340,7,877,"[2989, 2781, 2263, 1492, 1279, 1466, 2421, 658, 484, 2083, 1820, 714, 1343, 898, 1818, 533, 2021, 1167, 1173, 652]","[2989, 2781, 2263, 1492, 1279, 2421, 658, 484, 2083, 1820, 714, 1343, 898, 1818, 533, 2021, 1167, 1173, 652]",[1466],1
